Date,Time,Open,High,Low ,Close ,Volume
2020-08-06,9:30:00,7.3,7.65 ,6.7,7.15 ,58
2020-08-06,9:45:00,7,7.00 ,6.78,7.00 ,23
2020-08-06,10:00:00,6.7,6.80 ,6.5,6.68,8
2020-08-06,10:15:00,6.47,6.50 ,6.47,6.5,2
2020-08-06,10:30:00,5.9,6.10 ,5.3,5.30 ,1131
2020-08-06,10:45:00,5.37,5.70 ,5.37,5.5,8
2020-08-06,11:00:00,5.65,5.65 ,5.6,5.6,2
2020-08-06,11:15:00,5.5,5.50 ,5.49,5.49,2
2020-08-06,11:30:00,5.7,5.80 ,5.68,5.8,6
2020-08-06,11:45:00,NaN ,NaN,NaN ,NaN,0
2020-08-06,12:00:00,5.6,5.80 ,5.6,5.7,4
2020-08-06,12:15:00,5.9,5.90 ,5.9,5.9,4
2020-08-06,12:30:00,NaN ,NaN,NaN ,NaN,0
2020-08-06,12:45:00,5.9,5.90 ,5.88,5.89 ,14
2020-08-06,13:00:00,6,6.00 ,5.8,5.8,5
2020-08-06,13:15:00,5.9,5.91 ,5.9,5.91,4
2020-08-06,13:30:00,NaN ,NaN,NaN ,NaN,0
2020-08-06,13:45:00,6,6.00 ,6,6,5
2020-08-06,14:00:00,6.2,6.20 ,6.1,6.1,3
2020-08-06,14:15:00,5.8,6.30 ,5.8,6.30 ,14
2020-08-06,14:30:00,NaN ,NaN,NaN ,NaN,0
2020-08-06,14:45:00,6.27,6.48 ,6.27,6.48,2
2020-08-06,15:00:00,6.3,6.39 ,6.3,6.35,5
2020-08-06,15:15:00,NaN ,NaN,NaN ,NaN,0
2020-08-06,15:30:00,6.4,6.50 ,6.4,6.5,8
2020-08-06,15:45:00,6.4,6.50 ,6.4,6.50 ,11
2020-08-07,9:30:00,6.2,8.00 ,6.2,8,336
2020-08-07,9:45:00,7.9,8.40 ,7.9,8.30 ,37
2020-08-07,10:00:00,7.8,8.04 ,7.8,7.87 ,12
2020-08-07,10:15:00,8,9.55 ,8,9.55 ,69
2020-08-07,10:30:00,9.50 ,10.00 ,9.50 ,10.00 ,24
2020-08-07,10:45:00,10.00 ,10.50 ,9.90 ,10.20 ,27
2020-08-07,11:00:00,10.30 ,10.30 ,9.9,9.90 ,79
2020-08-07,11:15:00,9.59,9.90 ,9.3,9.80 ,21
2020-08-07,11:30:00,9.70 ,10.00 ,9.7,9.7,6
2020-08-07,11:45:00,9.8,9.80 ,9.1,9.10 ,15
2020-08-07,12:00:00,9,9.30 ,9,9.3,3
2020-08-07,12:15:00,NaN ,NaN,NaN ,NaN,0
2020-08-07,12:30:00,8.9,9.13 ,8.9,8.9,5
2020-08-07,12:45:00,8.94,8.94 ,8.9,8.9,2
2020-08-07,13:00:00,8.67,8.67 ,8.2,8.2,5
2020-08-07,13:15:00,NaN ,NaN,NaN ,NaN,0
2020-08-07,13:30:00,8.67,8.67 ,8.5,8.50 ,12
2020-08-07,13:45:00,8.3,8.70 ,8.3,8.7,2
2020-08-07,14:00:00,8.19,8.19 ,8.19,8.19,2
2020-08-07,14:15:00,8.16,8.16 ,7.42,7.62 ,15
2020-08-07,14:30:00,7.44,7.90 ,7.44,7.80 ,20
2020-08-07,14:45:00,8.1,8.10 ,8.1,8.1,1
2020-08-07,15:00:00,7.47,7.47 ,7.47,7.47,1
2020-08-07,15:15:00,7.6,7.95 ,7.6,7.95 ,11
2020-08-07,15:30:00,7.77,8.00 ,7.67,8,4
2020-08-07,15:45:00,8,8.09 ,7.9,8.09,8